會員編號,姓名,電子郵件,地址,密碼,電話,縣市代碼
44981-99666-XB,Una Welberry,uwelberryy@ebay.co.uk,台中市龍井區龍山街168巷1號6樓,a312994b,0967296992,C001
24825-51803-CQ,Faber Eilhart,feilhartz@who.int,桃園市桃園區大豐路23巷17號,071a340d,0905770276,C003
77634-13918-GJ,Zorina Ponting,zponting10@altervista.org,新北市土城區延吉街70號,c1358ee2,0903421161,C002
13694-25001-LX,Silvio Strase,sstrase11@booking.com,苗栗縣後龍鎮中心路149號,f6090d8b,0983904769,C011
08523-01791-TI,Dorie de la Tremoille,dde12@unesco.org,桃園市楊梅區獅一路133號,d8e62458,0975752623,C003
49860-68865-AB,Hy Zanetto,,桃園市蘆竹區開南路297號,6d8e688f,0900602883,C003
21240-83132-SP,Jessica McNess,,台北市士林區重慶北路四段190號,db75986c,0938518590,C001
08350-81623-TF,Lorenzo Yeoland,lyeoland15@pbs.org,台中市豐原區南陽路233號,144885c7,0916387311,C001
73284-01385-SJ,Abigail Tolworthy,atolworthy16@toplist.cz,台北市信義區虎林街165號,98f92c6e,0907416599,C001
04152-34436-IE,Maurie Bartol,,桃園市大園區中正東路三段63巷5號,627b4dba,0953650044,C003
06631-86965-XP,Olag Baudassi,obaudassi18@seesaa.net,宜蘭縣宜蘭市延平路192巷2號,1ddbca1f,0950637114,C017
54619-08558-ZU,Petey Kingsbury,pkingsbury19@comcast.net,桃園市楊梅區民族路五段112號,c53bcbb5,0965004017,C003
85589-17020-CX,Donna Baskeyfied,,高雄市鳳山區自強二路131號,5310ab69,0940347998,C006
36078-91009-WU,Arda Curley,acurley1b@hao123.com,台北市中正區汀州路二段267號,1129163e,0915642179,C001
15770-27099-GX,Raynor McGilvary,rmcgilvary1c@tamu.edu,桃園市中壢區領航南路二段137巷19號,b0def515,0986491984,C003
91460-04823-BX,Isis Pikett,ipikett1d@xinhuanet.com,台中市西區公正路56巷28號4樓,e7c76818,0956292073,C001
45089-52817-WN,Inger Bouldon,ibouldon1e@gizmodo.com,桃園市中壢區領航南路二段137巷19號,aea3e0fd,0969217376,C003
76447-50326-IC,Karry Flanders,kflanders1f@over-blog.com,台中市太平區新平路三段275號,e5707876,0972676290,C001
26333-67911-OL,Hartley Mattioli,hmattioli1g@webmd.com,台南市南區金華路二段240號,b8c10313,0999899960,C001
40768-49176-BL,Horatio Rubberts,hrubberts1h@google.com.hk,高雄市鼓山區哨船路209號,2c6fb312,0926141362,C006
22107-86640-SB,Archambault Gillard,agillard1i@issuu.com,台北市萬華區興義街136巷13號,d0505966,0952362303,C001
09960-34242-LZ,Salomo Cushworth,,台中市梧棲區自強一街92巷15號1樓,0a156263,0978057241,C001
04671-85591-RT,Theda Grizard,tgrizard1k@odnoklassniki.ru,台北市中正區信義路一段13號,e5f8ac9d,0991945971,C001
25729-68859-UA,Rozele Relton,rrelton1l@stanford.edu,屏東縣萬巒鄉萬德路191號,8991f75d,0911752997,C016
05501-86351-NX,Willa Rolling,,桃園市新屋區新榮路147號,31fb7685,0999871226,C003
04521-04300-OK,Stanislaus Gilroy,sgilroy1n@eepurl.com,台中市北屯區梅川東路四段54號,207a751c,0988916695,C001
58689-55264-VK,Correy Cottingham,ccottingham1o@wikipedia.org,高雄市橋頭區仕隆路97號,a3239dda,0963639388,C006
79436-73011-MM,Pammi Endacott,,新北市永和區水源街154號,f0118fb3,0921800255,C002
65552-60476-KY,Nona Linklater,,新北市永和區民有街141巷19號,4c72fe82,0940854232,C002
69904-02729-YS,Annadiane Dykes,adykes1r@eventbrite.com,新北市三峽區大勇路238號,b07208a8,0988843841,C002
01433-04270-AX,Felecia Dodgson,,台中市北屯區崇德六路113號,7fe09dd0,0933852843,C001
14204-14186-LA,Angelia Cockrem,acockrem1t@engadget.com,新北市板橋區樂群路272號,fcb914c8,0911939118,C002
32948-34398-HC,Belvia Umpleby,bumpleby1u@soundcloud.com,桃園市桃園區正康三街20號,cfb887d3,0961572086,C003
77343-52608-FF,Nat Saleway,nsaleway1v@dedecms.com,台東縣台東市開封街19號,42d0b4c1,0947161864,C001
42770-36274-QA,Hayward Goulter,hgoulter1w@abc.net.au,桃園市楊梅區青山六街164巷1號4樓,39b17449,0932114489,C003
14103-58987-ZU,Gay Rizzello,grizzello1x@symantec.com,台中市西屯區中工三路157號,d14bd731,0934951526,C001
69958-32065-SW,Shannon List,slist1y@mapquest.com,新北市三峽區大同路2巷24號5樓,374ef6ed,0917252315,C002
69533-84907-FA,Shirlene Edmondson,sedmondson1z@theguardian.com,台北市南港區忠孝東路六段249號,d22a4774,0990185769,C001
76005-95461-CI,Aurlie McCarl,,新北市泰山區新民路173號,092ae488,0978138605,C002
15395-90855-VB,Alikee Carryer,,台中市神岡區大洲路141巷21號,eda2e744,0972978215,C001
80640-45811-LB,Jennifer Rangall,jrangall22@newsvine.com,高雄市鼓山區鼓元街216號,05d9e5af,0906755602,C006
28476-04082-GR,Kipper Boorn,kboorn23@ezinearticles.com,雲林縣斗六市北平路12巷15號,6171a584,0947382189,C014
12018-75670-EU,Melania Beadle,,高雄市三民區大昌一路140號,66c4fa11,0939354859,C006
86437-17399-FK,Colene Elgey,celgey25@webs.com,桃園市楊梅區獅二路46巷13號,ec26846c,0947803222,C003
62979-53167-ML,Lothaire Mizzi,lmizzi26@rakuten.co.jp,高雄市岡山區下竹圍東街205號,55885e8a,0921945236,C006
54810-81899-HL,Cletis Giacomazzo,cgiacomazzo27@jigsy.com,桃園市桃園區大業路一段196號,fa3e24e3,0965219153,C003
26103-41504-IB,Ami Arnow,aarnow28@arizona.edu,台北市文山區和平東路四段8巷14號,236e0d79,0916378100,C001
76534-45229-SG,Sheppard Yann,syann29@senate.gov,高雄市前鎮區翠亨北路195號,9721e03b,0949267066,C006
81744-27332-RR,Bunny Naulls,bnaulls2a@tiny.cc,屏東縣恆春鎮省北路160號,16e8b619,0947965337,C016
91513-75657-PH,Hally Lorait,,苗栗縣頭份市忠孝二路159巷11號,a0579bc1,0977065226,C011
30373-66619-CB,Zaccaria Sherewood,zsherewood2c@apache.org,新竹市香山區中華路五段138號,d88320d1,0979953884,C008
31582-23562-FM,Jeffrey Dufaire,jdufaire2d@fc2.com,高雄市大社區金龍路8號,4659ca28,0981143220,C006
58638-01029-CB,Blancha McAmish,bmcamish2e@tripadvisor.com,台北市士林區中山北路六段37號,9e62d76c,0939939665,C001
81431-12577-VD,Beitris Keaveney,bkeaveney2f@netlog.com,新北市五股區中興路一段57號,a866b0cc,0904341175,C002
68894-91205-MP,Elna Grise,egrise2g@cargocollective.com,新北市新店區德正街116巷8號,a3c58e0f,0986072765,C002
87602-55754-VN,Torie Gottelier,tgottelier2h@vistaprint.com,新北市板橋區樂群路272號,900fc6fd,0970810972,C002
39181-35745-WH,Loydie Langlais,,新北市中和區興南路二段151巷16號,f0b33ba3,0915602571,C002
30381-64762-NG,Adham Greenhead,agreenhead2j@dailymail.co.uk,台中市南區美村南路24號,606dd3f0,0999440723,C001
17503-27693-ZH,Hamish MacSherry,,新北市新莊區豐年街193號,12f484bf,0928941149,C002
89442-35633-HJ,Else Langcaster,elangcaster2l@spotify.com,台北市信義區大道路63號,6a746f36,0953698265,C001
13654-85265-IL,Rudy Farquharson,,屏東縣萬巒鄉佳興路73巷19號,367a062c,0927429156,C016
40946-22090-FP,Norene Magauran,nmagauran2n@51.la,台北市信義區光復南路160號,b7a80df2,0992265537,C001
29050-93691-TS,Vicki Kirdsch,vkirdsch2o@google.fr,新北市板橋區金門街101巷15號,9f13268e,0910424865,C002
64395-74865-WF,Ilysa Whapple,iwhapple2p@com.com,高雄市鳳山區鳳北路117號,c6e18492,0967988726,C006
81861-66046-SU,Ruy Cancellieri,,台中市北區榮華街182巷12號4樓,d6b5eac3,0914724700,C001
13366-78506-KP,Aube Follett,,嘉義縣民雄鄉建國路二段14巷2號,0a7f54ca,0995834041,C015
08847-29858-HN,Rudiger Di Bartolomeo,,台中市潭子區北環路152號,256ba148,0937433102,C001
00539-42510-RY,Nickey Youles,nyoules2t@reference.com,高雄市鳥松區本館路32巷13號6樓,eacbc44f,0947701169,C006
45190-08727-NV,Dyanna Aizikovitz,daizikovitz2u@answers.com,南投縣竹山鎮祖師街68號,a83891bb,0955842857,C013
87049-37901-FU,Bram Revel,brevel2v@fastcompany.com,桃園市中壢區領航南路二段137巷19號,2940ca0e,0950641486,C003
34015-31593-JC,Emiline Priddis,epriddis2w@nationalgeographic.com,台中市大里區益民路一段273號,f68fce56,0914413109,C001
90305-50099-SV,Queenie Veel,qveel2x@jugem.jp,台北市信義區光復南路66號,e5201dee,0912536005,C001
55871-61935-MF,Lind Conyers,lconyers2y@twitter.com,新北市板橋區民族路149巷28號,5a400667,0945124172,C002
15405-60469-TM,Pen Wye,pwye2z@dagondesign.com,台中市豐原區豐原大道四段251號,f738f702,0945771985,C001
06953-94794-FB,Isahella Hagland,,新北市新店區碧潭路55號,5400957a,0902835319,C002
22305-40299-CY,Terry Sheryn,tsheryn31@mtv.com,高雄市鳳山區文龍東路58號,8f64abb2,0907139933,C006
09020-56774-GU,Marie-jeanne Redgrave,mredgrave32@cargocollective.com,基隆市中山區文化路169巷19號,a6792b90,0901948587,C007
92926-08470-YS,Betty Fominov,bfominov33@yale.edu,宜蘭縣南澳鄉蘇花路三段90巷3號,197a37b3,0959739671,C017
07250-63194-JO,Shawnee Critchlow,scritchlow34@un.org,台北市內湖區內湖路三段103號,14cc6699,0994637745,C001
63787-96257-TQ,Merrel Steptow,msteptow35@earthlink.net,新北市淡水區中山北路二段92巷19號,6462b07c,0989816564,C002
49530-25460-RW,Carmina Hubbuck,,新北市中和區圓通路66號,dd91e7d8,0925380257,C002
66508-21373-OQ,Ingeberg Mulliner,imulliner37@pinterest.com,新北市三重區文化南路113號,a1aa8ac9,0910037279,C002
20203-03950-FY,Geneva Standley,gstandley38@dion.ne.jp,高雄市新興區五福二路49巷6號1樓,7a35a7e8,0933249007,C006
83895-90735-XH,Brook Drage,bdrage39@youku.com,基隆市信義區義七路216號,caf39a4d,0976354087,C007
61954-61462-RJ,Muffin Yallop,myallop3a@fema.gov,新竹市香山區中華路六段83巷18號,6d774969,0903634402,C008
47939-53158-LS,Cordi Switsur,cswitsur3b@chronoengine.com,嘉義縣民雄鄉建國路二段93號,e0fb39d5,0995058653,C015
38903-46478-ZE,Ezri Hows,ehows3c@devhub.com,嘉義縣朴子市南通路三段275號,f713afa5,0933281491,C015
76841-77583-BJ,Sylas Becaris,sbecaris3d@google.ru,新北市中和區圓通路103巷1號4樓,a38120fb,0980377625,C002
61513-27752-FA,Mahala Ludwell,mludwell3e@blogger.com,台中市西屯區福安路152號,903464e4,0960018499,C001
89714-19856-WX,Doll Beauchamp,dbeauchamp3f@usda.gov,南投縣南投市學藝路38巷24號1樓,20bfbfcc,0978643813,C013
87979-56781-YV,Stanford Rodliff,srodliff3g@ted.com,高雄市鼓山區美明路171巷12號3樓,45f824e7,0961932584,C006
74126-88836-KA,Stevana Woodham,swoodham3h@businesswire.com,台北市大安區新生南路一段68號,2a741ca1,0943524286,C001
37397-05992-VO,Hewet Synnot,hsynnot3i@about.com,台中市西區向上南路109巷19號7樓,3ae72f31,0955541185,C001
54904-18397-UD,Raleigh Lepere,rlepere3j@shop-pro.jp,新北市瑞芳區明燈路三段95號,1521fcb3,0901594069,C002
19017-95853-EK,Timofei Woofinden,twoofinden3k@businesswire.com,新北市新店區新店路196巷21號,139812a0,0990722543,C002
88593-59934-VU,Evelina Dacca,edacca3l@google.pl,高雄市仁武區八德西路270號,5bc65d92,0913191067,C006
47493-68564-YM,Bidget Tremellier,,台南市中西區武聖路180號,b8c19db7,0908587178,C001
82246-82543-DW,Bobinette Hindsberg,bhindsberg3n@blogs.com,台中市后里區甲后路160號,09b98b08,0984412973,C001
03384-62101-IY,Osbert Robins,orobins3o@salon.com,台中市大肚區大明三街123號,3c19cf9d,0972888369,C001
86881-41559-OR,Othello Syseland,osyseland3p@independent.co.uk,高雄市楠梓區開發路157巷6號,ff10733c,0922318466,C006
02536-18494-AQ,Ewell Hanby,,苗栗縣後龍鎮中心路149號,ef48d6bd,0910234685,C011
29732-74147-HX,Chalmers Havenhand,chavenhand3r@1688.com,台中市大甲區新政路226號,07f3e2c1,0979335240,C001
90312-11148-LA,Lowell Keenleyside,lkeenleyside3s@topsy.com,台北市內湖區港華街44巷22號,31a72ee8,0904534712,C001
68239-74809-TF,Elonore Joliffe,,新北市淡水區淡金路5段240號,5d11a939,0923503960,C002
91074-60023-IP,Abraham Coleman,,新北市樹林區育英街154號,802ca27e,0993387500,C002
07972-83748-JI,Rivy Farington,,台中市南屯區惠文路99巷18號,b4ff804d,0936702685,C001
08694-57330-XR,Vallie Kundt,vkundt3w@bigcartel.com,新北市土城區明德路一段207號,8fe0dd80,0999104057,C002
68412-11126-YJ,Boyd Bett,bbett3x@google.de,台南市安南區安中路四段86巷4號,94931e3b,0974017612,C001
69037-66822-DW,Julio Armytage,,台北市大安區忠孝東路四段59巷9號,ceda4d2c,0920342123,C001
01297-94364-XH,Deana Staite,dstaite3z@scientificamerican.com,台北市松山區民權東路五段162巷24號,45aee659,0925985236,C001
39919-06540-ZI,Winn Keyse,wkeyse40@apple.com,雲林縣斗六市保長路187巷4號,9e5b3f5f,0996865362,C014
60512-78550-WS,Osmund Clausen-Thue,oclausenthue41@marriott.com,桃園市蘆竹區忠孝西路48號,0d15bed7,0917207129,C003
40172-12000-AU,Leonore Francisco,lfrancisco42@fema.gov,宜蘭縣員山鄉溫泉路194巷3號,a476e4f1,0903152387,C017
42394-07234-AM,Adey Lowseley,alowseley43@timesonline.co.uk,苗栗縣苗栗市為公路23號,59b23c64,0985574305,C011
39019-13649-CL,Giacobo Skingle,gskingle44@clickbank.net,台北市北投區西安街一段209號,6ed3302e,0973327233,C001
12715-05198-QU,Gerard Pirdy,,彰化縣芳苑鄉上林路路上段15巷18號1樓,ef911119,0926598241,C012
04513-76520-QO,Jacinthe Balsillie,jbalsillie46@princeton.edu,台北市士林區通河街150號,f04c9a43,0980265130,C001
88446-59251-SQ,Quinton Fouracres,,新北市新莊區中和街27巷6號2樓,355c1742,0900882659,C002
23779-10274-KN,Bettina Leffek,bleffek48@ning.com,台中市南屯區大墩十一街46巷5號,97d1e357,0903047369,C001
57235-92842-DK,Hetti Penson,,台北市文山區和平東路四段50巷15號3樓,4ce48f55,0975015525,C001
75977-30364-AY,Jocko Pray,jpray4a@youtube.com,高雄市仁武區八德西路270號,d8e00389,0941058909,C006
12299-30914-NG,Grete Holborn,gholborn4b@ow.ly,桃園市龜山區文化七路43號,d97e851e,0963121930,C003
59971-35626-YJ,Fielding Keinrat,fkeinrat4c@dailymail.co.uk,嘉義市東區大雅路二段99號,7009af98,0992611298,C009
15380-76513-PS,Paulo Yea,pyea4d@aol.com,高雄市岡山區筧橋路131號,1460cdad,0960621480,C006
73564-98204-EY,Say Risborough,,台中市后里區文明路117巷5號,a67a9258,0905570217,C001
72282-40594-RX,Alexa Sizey,,高雄市鼓山區西藏街136巷12號5樓,a793c64f,0982351815,C006
17514-94165-RJ,Kari Swede,kswede4g@addthis.com,台北市大安區仁愛路四段29巷7號,aed69940,0952125990,C001
56248-75861-JX,Leontine Rubrow,lrubrow4h@microsoft.com,高雄市鼓山區華泰路192號,5da54b15,0923072072,C006
97855-54761-IS,Dottie Tift,dtift4i@netvibes.com,新竹市香山區中華路五段56巷5號,63eb257a,0967175253,C008
96544-91644-IT,Gerardo Schonfeld,gschonfeld4j@oracle.com,台中市大安區中山南路97號,91c95426,0926807434,C001
51971-70393-QM,Claiborne Feye,cfeye4k@google.co.jp,台中市后里區安眉路172號,fa509b27,0953034421,C001
06812-11924-IK,Mina Elstone,,基隆市安樂區武隆街110號,55739bcf,0929468313,C007
59741-90220-OW,Sherman Mewrcik,,新北市三峽區三樹路209號,83b01379,0950870512,C002
62682-27930-PD,Tamarah Fero,tfero4n@comsenz.com,新竹市東區龍山東路252號,e407ccce,0916990643,C008
00256-19905-YG,Stanislaus Valsler,,台北市大同區南京西路143巷13號,d3348f93,0927703999,C001
38890-22576-UI,Felita Dauney,fdauney4p@sphinn.com,台北市文山區興隆路四段86巷20號,52bed9e7,0962904104,C001
94573-61802-PH,Serena Earley,searley4q@youku.com,新北市新店區德正街116巷8號,39a57df4,0988266162,C002
86447-02699-UT,Minny Chamberlayne,mchamberlayne4r@bigcartel.com,雲林縣虎尾鎮立德路127巷28號,cf5e8fbb,0968487037,C014
51432-27169-KN,Bartholemy Flaherty,bflaherty4s@moonfruit.com,新北市深坑區埔新街70號,d2fa65ea,0997341690,C002
43074-00987-PB,Oran Colbeck,ocolbeck4t@sina.com.cn,南投縣草屯鎮敦和路180號,158373d1,0902583661,C013
04739-85772-QT,Elysee Sketch,,台中市大里區新仁路１段222號,e975dbac,0920253851,C001
28279-78469-YW,Ethelda Hobbing,ehobbing4v@nsw.gov.au,高雄市三民區澄清路53巷1號,2d6e9019,0917466275,C006
91829-99544-DS,Odille Thynne,othynne4w@auda.org.au,基隆市仁愛區仁三路7巷16號,2f6c57e0,0954178010,C007
38978-59582-JP,Emlynne Heining,eheining4x@flickr.com,屏東縣恆春鎮省北路160號,8a2a2680,0940721477,C016
86504-96610-BH,Katerina Melloi,kmelloi4y@imdb.com,基隆市中山區文化路169巷19號,197be08b,0972955242,C007
75986-98864-EZ,Tiffany Scardafield,,新北市三峽區介壽路三段3巷11號,66ffa6ad,0911172977,C002
66776-88682-RG,Abrahan Mussen,amussen50@51.la,新竹市東區竹蓮街100巷11號,d928e379,0932521159,C008
33284-98063-SE,Essie Nellies,enellies51@goodreads.com,宜蘭縣蘇澳鎮蘇港路112巷13號,3346d636,0996890062,C017
85851-78384-DM,Anny Mundford,amundford52@nbcnews.com,新北市板橋區重慶路182巷12號,b082b306,0933925775,C002
55232-81621-BX,Tory Walas,twalas53@google.ca,台中市大安區中山南路97號,d9427042,0918083221,C001
80310-92912-JA,Isa Blazewicz,iblazewicz54@thetimes.co.uk,台北市大安區辛亥路二段71號,1106a71e,0999795637,C001
19821-05175-WZ,Angie Rizzetti,arizzetti55@naver.com,台北市萬華區富民路65巷2號,37ac54b6,0914573949,C001
01338-83217-GV,Mord Meriet,mmeriet56@noaa.gov,新北市三重區重陽路四段287號,49145399,0900359624,C002
66044-25298-TA,Lawrence Pratt,lpratt57@netvibes.com,新北市樹林區八德街177號,1b811fc1,0937614249,C002
28728-47861-TZ,Astrix Kitchingham,akitchingham58@com.com,桃園市蘆竹區南崁路二段27巷3號,a00fd150,0976850931,C003
32638-38620-AX,Burnard Bartholin,bbartholin59@xinhuanet.com,新竹縣竹北市莊敬六街70號,f0766ae1,0933721791,C010
83163-65741-IH,Madelene Prinn,mprinn5a@usa.gov,台中市后里區甲后路160號,97ee6d8b,0901916814,C001
89422-58281-FD,Alisun Baudino,abaudino5b@netvibes.com,新北市淡水區鄧公路3巷11號,1719f521,0954416965,C002
76293-30918-DQ,Philipa Petrushanko,ppetrushanko5c@blinklist.com,新北市三重區重陽路一段90巷15號,699c8321,0956718521,C002
86779-84838-EJ,Kimberli Mustchin,,高雄市鳳山區瑞興路99號,68baf8a9,0969751060,C006
66806-41795-MX,Emlynne Laird,elaird5e@bing.com,台中市太平區宜欣路185號,67cb1bec,0958268588,C001
64875-71224-UI,Marlena Howsden,mhowsden5f@infoseek.co.jp,台北市文山區景文街72巷1號,2fe8c0be,0912848621,C001
16982-35708-BZ,Nealson Cuttler,ncuttler5g@parallels.com,台南市東區榮譽街181號,35be172e,0906881157,C001
62425-26461-RK,Crin Vernham,cvernham5h@e-recht24.de,台北市大同區延平北路三段163巷7號,244afb61,0948810479,C001
71468-76923-BU,Jenn Munnings,jmunnings5i@springer.com,新北市林口區文化二路二段86巷11號1樓,91142204,0986424926,C002
23014-48364-QB,Olympie Dautry,odautry5j@etsy.com,台中市西屯區寶慶街36號,7cac0ff5,0907352207,C001
92588-14671-JM,Ingaborg Dunwoody,idunwoody5k@sourceforge.net,花蓮縣新城鄉嘉新路56巷14號,57a7c292,0995746416,C018
66708-26678-QK,Adriana Lazarus,,新北市三重區捷運路93號,5b3e7d0f,0935943750,C002
08743-09057-OO,Tallie felip,tfelip5m@typepad.com,桃園市中壢區龍岡路一段32巷10號,723e9cba,0970168335,C003
37490-01572-JW,Vanna Le - Count,vle5n@disqus.com,基隆市中山區中山一路124號,c64a9321,0972434002,C007
01811-60350-CU,Sarette Ducarel,,桃園市新屋區新榮路147號,64953077,0959662789,C003
24766-58139-GT,Kendra Glison,,台中市后里區安眉路172號,1a741179,0988419947,C001
90123-70970-NY,Nertie Poolman,npoolman5q@howstuffworks.com,台北市文山區和平東路四段50巷15號3樓,b774ceab,0959198040,C001
93809-05424-MG,Orbadiah Duny,oduny5r@constantcontact.com,新竹市香山區中華路六段83巷18號,a892d4b5,0926742412,C008
85425-33494-HQ,Constance Halfhide,chalfhide5s@google.ru,宜蘭縣頭城鎮民鋒路13巷22號,713844ef,0954806306,C017
54387-64897-XC,Fransisco Malecky,fmalecky5t@list-manage.com,台北市南港區昆陽街5巷8號,1d5cd1d6,0989117749,C001
01035-70465-UO,Anselma Attwater,aattwater5u@wikia.com,新北市淡水區義山路一段44巷8號7樓,6d1d438c,0988362500,C002
84260-39432-ML,Minette Whellans,mwhellans5v@mapquest.com,基隆市安樂區麥金路154號,d51c57e2,0949917567,C007
69779-40609-RS,Dael Camilletti,dcamilletti5w@businesswire.com,彰化縣和美鎮線東路三段73巷21號,ffb6da4b,0984722242,C012
80247-70000-HT,Emiline Galgey,egalgey5x@wufoo.com,台北市南港區園區街175號,bd11dd02,0950380458,C001
35058-04550-VC,Murdock Hame,mhame5y@newsvine.com,台中市大甲區新政路226號,55bd3a66,0962476278,C001
27226-53717-SY,Ilka Gurnee,igurnee5z@usnews.com,新北市三重區仁安街160巷6號,d3400db3,0915634424,C002
02002-98725-CH,Alfy Snowding,asnowding60@comsenz.com,屏東縣枋寮鄉臨海路二段78巷8號,cf674f80,0996359784,C016
38487-01549-MV,Godfry Poinsett,gpoinsett61@berkeley.edu,高雄市左營區曾子路68號,fccf0999,0971180556,C006
98573-41811-EQ,Rem Furman,rfurman62@t.co,台中市西屯區甘肅路一段220號,e8db1a94,0959748356,C001
72463-75685-MV,Charis Crosier,ccrosier63@xrea.com,苗栗縣竹南鎮永貞路二段154號,3e5b4b80,0919382029,C011
14797-35530-HY,Monte Percifull,mpercifull64@netlog.com,台北市信義區虎林街165號,150fc416,0985203659,C001
10225-91535-AI,Lenka Rushmer,lrushmer65@europa.eu,台北市中正區常德街16號,55510884,0993079102,C001
48090-06534-HI,Waneta Edinborough,wedinborough66@github.io,基隆市安樂區武隆街110號,713a88cd,0979746260,C007
80444-58185-FX,Bobbe Piggott,,台中市南區東興路一段217號,9c8bf098,0984195959,C001
13561-92774-WP,Ketty Bromehead,kbromehead68@un.org,台北市文山區木柵路二段89號,564b993b,0930323268,C001
11550-78378-GE,Elsbeth Westerman,ewesterman69@si.edu,台南市歸仁區和順路一段240號,767ac239,0981007531,C001
90961-35603-RP,Anabelle Hutchens,ahutchens6a@amazonaws.com,台中市西屯區甘肅路一段220號,17a49504,0972776337,C001
57145-03803-ZL,Noak Wyvill,nwyvill6b@naver.com,桃園市龜山區文化七路43號,c4087e42,0902821695,C003
89115-11966-VF,Beltran Mathon,bmathon6c@barnesandnoble.com,基隆市七堵區明德一路137巷24號4樓,448059fc,0905336947,C007
