訂單編號,會員編號,貨運公司編號,訂單日期,付款日期,送貨地址,Status
CHE-78995-767,00888-74814-UZ,D003,2025-11-25 02:01:17.347725,2025-11-28 02:01:17.347725,高雄市楠梓區海專路155巷19號,Shipped
RYZ-14633-602,14158-30713-OB,D005,2022-06-15 02:01:17.347725,2022-06-17 02:01:17.347725,桃園市楊梅區獅二路46巷13號,Shipped
WOQ-36015-429,51427-89175-QJ,D001,2025-01-18 02:01:17.347725,2025-01-21 02:01:17.347725,苗栗縣竹南鎮永貞路二段97巷28號,Shipped
SCT-60553-454,39123-12846-YJ,D005,2024-11-09 02:01:17.347725,2024-11-10 02:01:17.347725,台北市萬華區和平西路三段32號,Shipped
GFK-52063-244,44981-99666-XB,D005,2023-10-23 02:01:17.347725,2023-10-24 02:01:17.347725,台中市龍井區龍山街168巷1號6樓,Shipped
AMM-79521-378,24825-51803-CQ,D003,2024-09-24 02:01:17.347725,2024-09-26 02:01:17.347725,桃園市桃園區大豐路23巷17號,Shipped
QUQ-90580-772,77634-13918-GJ,D005,2024-06-01 02:01:17.347725,2024-06-02 02:01:17.347725,新北市土城區延吉街70號,Shipped
LGD-24408-274,13694-25001-LX,D005,2022-08-18 02:01:17.347725,2022-08-19 02:01:17.347725,苗栗縣後龍鎮中心路149號,Shipped
HCT-95608-959,08523-01791-TI,D001,2023-08-19 02:01:17.347725,2023-08-20 02:01:17.347725,桃園市楊梅區獅一路133號,Shipped
OFX-99147-470,49860-68865-AB,D004,2025-03-19 02:01:17.347725,2025-03-22 02:01:17.347725,桃園市蘆竹區開南路297號,Shipped
LUO-37559-016,21240-83132-SP,D002,2024-08-12 02:01:17.347725,2024-08-15 02:01:17.347725,台北市士林區重慶北路四段190號,Shipped
XWC-20610-167,08350-81623-TF,D001,2025-10-30 02:01:17.347725,2025-10-31 02:01:17.347725,台中市豐原區南陽路233號,Shipped
GPU-79113-136,73284-01385-SJ,D003,2022-09-14 02:01:17.347725,2022-09-16 02:01:17.347725,台北市信義區虎林街165號,Shipped
ULR-52653-960,04152-34436-IE,D005,2025-01-27 02:01:17.347725,2025-01-30 02:01:17.347725,桃園市大園區中正東路三段63巷5號,Shipped
HPI-42308-142,06631-86965-XP,D003,2023-08-05 02:01:17.347725,2023-08-06 02:01:17.347725,宜蘭縣宜蘭市延平路192巷2號,Shipped
XHI-30227-581,54619-08558-ZU,D004,2025-05-26 02:01:17.347725,2025-05-28 02:01:17.347725,桃園市楊梅區民族路五段112號,Shipped
DJH-05202-380,85589-17020-CX,D005,2023-03-02 02:01:17.347725,2023-03-05 02:01:17.347725,高雄市鳳山區自強二路131號,Shipped
VMW-26889-781,36078-91009-WU,D004,2022-10-21 02:01:17.347725,2022-10-22 02:01:17.347725,台北市中正區汀州路二段267號,Shipped
DBU-81099-586,15770-27099-GX,D004,2024-01-05 02:01:17.347725,2024-01-07 02:01:17.347725,桃園市中壢區領航南路二段137巷19號,Shipped
PQA-54820-810,91460-04823-BX,D004,2025-12-10 02:01:17.347725,2025-12-12 02:01:17.347725,台中市西區公正路56巷28號4樓,Shipped
XKB-41924-202,45089-52817-WN,D005,2025-12-12 02:01:17.347725,2025-12-14 02:01:17.347725,桃園市中壢區領航南路二段137巷19號,Shipped
DWZ-69106-473,76447-50326-IC,D002,2022-09-07 02:01:17.347725,2022-09-09 02:01:17.347725,台中市太平區新平路三段275號,Shipped
YHV-68700-050,26333-67911-OL,D002,2023-01-04 02:01:17.347725,2023-01-05 02:01:17.347725,台南市南區金華路二段240號,Shipped
KRB-88066-642,22107-86640-SB,D005,2024-07-09 02:01:17.347725,2024-07-10 02:01:17.347725,台北市萬華區興義街136巷13號,Shipped
LQU-08404-173,09960-34242-LZ,D004,2024-03-28 02:01:17.347725,2024-03-29 02:01:17.347725,台中市梧棲區自強一街92巷15號1樓,Shipped
CWK-60159-881,04671-85591-RT,D001,2023-05-22 02:01:17.347725,2023-05-23 02:01:17.347725,台北市中正區信義路一段13號,Shipped
EEG-74197-843,25729-68859-UA,D002,2025-11-09 02:01:17.347725,2025-11-11 02:01:17.347725,屏東縣萬巒鄉萬德路191號,Shipped
UCZ-59708-525,05501-86351-NX,D004,2025-06-27 02:01:17.347725,2025-06-28 02:01:17.347725,桃園市新屋區新榮路147號,Shipped
HUB-47311-849,04521-04300-OK,D003,2025-04-01 02:01:17.347725,2025-04-04 02:01:17.347725,台中市北屯區梅川東路四段54號,Shipped
WYM-17686-694,58689-55264-VK,D005,2024-06-20 02:01:17.347725,2024-06-23 02:01:17.347725,高雄市橋頭區仕隆路97號,Shipped
ZYQ-15797-695,79436-73011-MM,D001,2022-06-20 02:01:17.347725,2022-06-21 02:01:17.347725,新北市永和區水源街154號,Shipped
EEJ-16185-108,65552-60476-KY,D002,2022-06-04 02:01:17.347725,2022-06-07 02:01:17.347725,新北市永和區民有街141巷19號,Shipped
RWR-77888-800,69904-02729-YS,D004,2023-06-02 02:01:17.347725,2023-06-05 02:01:17.347725,新北市三峽區大勇路238號,Shipped
LHN-75209-742,01433-04270-AX,D002,2023-07-17 02:01:17.347725,2023-07-19 02:01:17.347725,台中市北屯區崇德六路113號,Shipped
TIR-71396-998,14204-14186-LA,D002,2025-06-29 02:01:17.347725,2025-07-01 02:01:17.347725,新北市板橋區樂群路272號,Shipped
RXF-37618-213,32948-34398-HC,D003,2025-08-08 02:01:17.347725,2025-08-10 02:01:17.347725,桃園市桃園區正康三街20號,Shipped
ANM-16388-634,77343-52608-FF,D004,2025-03-14 02:01:17.347725,2025-03-16 02:01:17.347725,台東縣台東市開封街19號,Shipped
WYL-29300-070,42770-36274-QA,D004,2023-02-08 02:01:17.347725,2023-02-09 02:01:17.347725,桃園市楊梅區青山六街164巷1號4樓,Shipped
JHW-74554-805,14103-58987-ZU,D005,2023-03-21 02:01:17.347725,2023-03-22 02:01:17.347725,台中市西屯區中工三路157號,Shipped
KYS-27063-603,69958-32065-SW,D002,2022-10-23 02:01:17.347725,2022-10-26 02:01:17.347725,新北市三峽區大同路2巷24號5樓,Shipped
GAZ-58626-277,69533-84907-FA,D003,2024-04-29 02:01:17.347725,2024-05-02 02:01:17.347725,台北市南港區忠孝東路六段249號,Shipped
RPJ-37787-335,76005-95461-CI,D003,2024-02-20 02:01:17.347725,2024-02-23 02:01:17.347725,新北市泰山區新民路173號,Shipped
LEF-83057-763,15395-90855-VB,D003,2024-10-08 02:01:17.347725,2024-10-11 02:01:17.347725,台中市神岡區大洲路141巷21號,Shipped
RPW-36123-215,80640-45811-LB,D004,2024-11-11 02:01:17.347725,2024-11-12 02:01:17.347725,高雄市鼓山區鼓元街216號,Shipped
WLL-59044-117,28476-04082-GR,D003,2024-11-15 02:01:17.347725,2024-11-18 02:01:17.347725,雲林縣斗六市北平路12巷15號,Shipped
AWT-22827-563,12018-75670-EU,D005,2023-05-20 02:01:17.347725,2023-05-23 02:01:17.347725,高雄市三民區大昌一路140號,Shipped
QLM-07145-668,86437-17399-FK,D002,2022-09-01 02:01:17.347725,2022-09-02 02:01:17.347725,桃園市楊梅區獅二路46巷13號,Shipped
HVQ-64398-930,62979-53167-ML,D002,2023-07-24 02:01:17.347725,2023-07-25 02:01:17.347725,高雄市岡山區下竹圍東街205號,Shipped
WRT-40778-247,54810-81899-HL,D003,2025-07-06 02:01:17.347725,2025-07-08 02:01:17.347725,桃園市桃園區大業路一段196號,Shipped
SUB-13006-125,26103-41504-IB,D002,2022-08-10 02:01:17.347725,2022-08-12 02:01:17.347725,台北市文山區和平東路四段8巷14號,Shipped
CQM-49696-263,76534-45229-SG,D002,2023-02-17 02:01:17.347725,2023-02-18 02:01:17.347725,高雄市前鎮區翠亨北路195號,Shipped
KXN-85094-246,81744-27332-RR,D005,2023-01-06 02:01:17.347725,2023-01-07 02:01:17.347725,屏東縣恆春鎮省北路160號,Shipped
XOQ-12405-419,91513-75657-PH,D005,2023-08-06 02:01:17.347725,2023-08-07 02:01:17.347725,苗栗縣頭份市忠孝二路159巷11號,Shipped
HYF-10254-369,30373-66619-CB,D003,2023-03-09 02:01:17.347725,2023-03-11 02:01:17.347725,新竹市香山區中華路五段138號,Shipped
XXJ-47000-307,31582-23562-FM,D001,2022-11-10 02:01:17.347725,2022-11-12 02:01:17.347725,高雄市大社區金龍路8號,Shipped
ZDK-82166-357,81431-12577-VD,D003,2024-07-27 02:01:17.347725,2024-07-28 02:01:17.347725,新北市五股區中興路一段57號,Shipped
IHN-19982-362,68894-91205-MP,D005,2024-07-22 02:01:17.347725,2024-07-23 02:01:17.347725,新北市新店區德正街116巷8號,Shipped
VMT-10030-889,87602-55754-VN,D003,2025-04-09 02:01:17.347725,2025-04-10 02:01:17.347725,新北市板橋區樂群路272號,Shipped
NHL-11063-100,39181-35745-WH,D002,2023-09-13 02:01:17.347725,2023-09-16 02:01:17.347725,新北市中和區興南路二段151巷16號,Shipped
ROV-87448-086,30381-64762-NG,D005,2024-02-26 02:01:17.347725,2024-02-29 02:01:17.347725,台中市南區美村南路24號,Shipped
DGY-35773-612,17503-27693-ZH,D002,2023-11-18 02:01:17.347725,2023-11-21 02:01:17.347725,新北市新莊區豐年街193號,Shipped
YWH-50638-556,89442-35633-HJ,D003,2022-07-07 02:01:17.347725,2022-07-10 02:01:17.347725,台北市信義區大道路63號,Shipped
ISL-11200-600,13654-85265-IL,D001,2023-10-26 02:01:17.347725,2023-10-29 02:01:17.347725,屏東縣萬巒鄉佳興路73巷19號,Shipped
LBZ-75997-047,40946-22090-FP,D004,2023-04-11 02:01:17.347725,2023-04-13 02:01:17.347725,台北市信義區光復南路160號,Shipped
EUH-08089-954,29050-93691-TS,D003,2024-03-31 02:01:17.347725,2024-04-03 02:01:17.347725,新北市板橋區金門街101巷15號,Shipped
BLD-12227-251,64395-74865-WF,D001,2024-06-27 02:01:17.347725,2024-06-30 02:01:17.347725,高雄市鳳山區鳳北路117號,Shipped
OPY-30711-853,81861-66046-SU,D003,2024-11-09 02:01:17.347725,2024-11-11 02:01:17.347725,台中市北區榮華街182巷12號4樓,Shipped
DBC-44122-300,13366-78506-KP,D002,2024-02-28 02:01:17.347725,2024-03-02 02:01:17.347725,嘉義縣民雄鄉建國路二段14巷2號,Shipped
FJQ-60035-234,08847-29858-HN,D004,2024-07-29 02:01:17.347725,2024-08-01 02:01:17.347725,台中市潭子區北環路152號,Shipped
HSF-66926-425,00539-42510-RY,D005,2023-06-25 02:01:17.347725,2023-06-26 02:01:17.347725,高雄市鳥松區本館路32巷13號6樓,Shipped
LQG-41416-375,45190-08727-NV,D005,2025-02-11 02:01:17.347725,2025-02-13 02:01:17.347725,南投縣竹山鎮祖師街68號,Shipped
VZO-97265-841,87049-37901-FU,D001,2025-10-31 02:01:17.347725,2025-11-02 02:01:17.347725,桃園市中壢區領航南路二段137巷19號,Shipped
MOR-12987-399,34015-31593-JC,D002,2022-12-10 02:01:17.347725,2022-12-12 02:01:17.347725,台中市大里區益民路一段273號,Shipped
UOA-23786-489,90305-50099-SV,D003,2023-09-24 02:01:17.347725,2023-09-27 02:01:17.347725,台北市信義區光復南路66號,Shipped
AJL-52941-018,55871-61935-MF,D001,2023-08-29 02:01:17.347725,2023-09-01 02:01:17.347725,新北市板橋區民族路149巷28號,Shipped
XSZ-84273-421,15405-60469-TM,D002,2022-08-07 02:01:17.347725,2022-08-10 02:01:17.347725,台中市豐原區豐原大道四段251號,Shipped
NUN-48214-216,06953-94794-FB,D005,2023-11-22 02:01:17.347725,2023-11-25 02:01:17.347725,新北市新店區碧潭路55號,Shipped
AKV-93064-769,22305-40299-CY,D004,2023-04-06 02:01:17.347725,2023-04-09 02:01:17.347725,高雄市鳳山區文龍東路58號,Shipped
BRB-40903-533,09020-56774-GU,D003,2025-10-08 02:01:17.347725,2025-10-09 02:01:17.347725,基隆市中山區文化路169巷19號,Shipped
GPR-19973-483,92926-08470-YS,D001,2022-10-19 02:01:17.347725,2022-10-22 02:01:17.347725,宜蘭縣南澳鄉蘇花路三段90巷3號,Shipped
XIY-43041-882,07250-63194-JO,D003,2025-02-04 02:01:17.347725,2025-02-07 02:01:17.347725,台北市內湖區內湖路三段103號,Shipped
YGY-98425-969,63787-96257-TQ,D005,2022-07-25 02:01:17.347725,2022-07-26 02:01:17.347725,新北市淡水區中山北路二段92巷19號,Shipped
MSB-08397-648,49530-25460-RW,D005,2024-07-03 02:01:17.347725,2024-07-06 02:01:17.347725,新北市中和區圓通路66號,Shipped
WDR-06028-345,66508-21373-OQ,D002,2022-12-09 02:01:17.347725,2022-12-10 02:01:17.347725,新北市三重區文化南路113號,Shipped
MXM-42948-061,20203-03950-FY,D004,2023-12-05 02:01:17.347725,2023-12-06 02:01:17.347725,高雄市新興區五福二路49巷6號1樓,Shipped
MGQ-98961-173,83895-90735-XH,D004,2025-07-29 02:01:17.347725,2025-08-01 02:01:17.347725,基隆市信義區義七路216號,Shipped
RFH-64349-897,61954-61462-RJ,D002,2023-02-14 02:01:17.347725,2023-02-16 02:01:17.347725,新竹市香山區中華路六段83巷18號,Shipped
TKL-20738-660,47939-53158-LS,D002,2025-01-25 02:01:17.347725,2025-01-26 02:01:17.347725,嘉義縣民雄鄉建國路二段93號,Shipped
GOW-03198-575,61513-27752-FA,D004,2024-07-06 02:01:17.347725,2024-07-09 02:01:17.347725,台中市西屯區福安路152號,Shipped
QJB-90477-635,89714-19856-WX,D003,2025-10-05 02:01:17.347725,2025-10-07 02:01:17.347725,南投縣南投市學藝路38巷24號1樓,Shipped
MWP-46239-785,87979-56781-YV,D003,2022-08-20 02:01:17.347725,2022-08-23 02:01:17.347725,高雄市鼓山區美明路171巷12號3樓,Shipped
QDV-03406-248,74126-88836-KA,D005,2022-09-15 02:01:17.347725,2022-09-17 02:01:17.347725,台北市大安區新生南路一段68號,Shipped
GPH-40635-105,37397-05992-VO,D004,2023-11-07 02:01:17.347725,2023-11-08 02:01:17.347725,台中市西區向上南路109巷19號7樓,Shipped
JOM-80930-071,54904-18397-UD,D001,2025-03-05 02:01:17.347725,2025-03-06 02:01:17.347725,新北市瑞芳區明燈路三段95號,Shipped
OIL-26493-755,19017-95853-EK,D005,2024-12-24 02:01:17.347725,2024-12-25 02:01:17.347725,新北市新店區新店路196巷21號,Shipped
CYV-13426-645,88593-59934-VU,D002,2022-10-29 02:01:17.347725,2022-10-31 02:01:17.347725,高雄市仁武區八德西路270號,Shipped
WRP-39846-614,47493-68564-YM,D003,2025-06-27 02:01:17.347725,2025-06-30 02:01:17.347725,台南市中西區武聖路180號,Shipped
VDZ-76673-968,82246-82543-DW,D001,2024-04-25 02:01:17.347725,2024-04-27 02:01:17.347725,台中市后里區甲后路160號,Shipped
VTV-03546-175,03384-62101-IY,D003,2023-11-24 02:01:17.347725,2023-11-27 02:01:17.347725,台中市大肚區大明三街123號,Shipped
GHR-72274-715,86881-41559-OR,D004,2024-09-16 02:01:17.347725,2024-09-17 02:01:17.347725,高雄市楠梓區開發路157巷6號,Shipped
ZGK-97262-313,02536-18494-AQ,D003,2025-11-08 02:01:17.347725,2025-11-10 02:01:17.347725,苗栗縣後龍鎮中心路149號,Shipped
ZFS-30776-804,58638-01029-CB,D005,2024-05-31 02:01:17.347725,2024-06-03 02:01:17.347725,台北市士林區中山北路六段37號,Shipped
QUU-91729-492,90312-11148-LA,D005,2024-11-21 02:01:17.347725,2024-11-22 02:01:17.347725,台北市內湖區港華街44巷22號,Shipped
PVI-72795-960,68239-74809-TF,D005,2025-07-10 02:01:17.347725,2025-07-11 02:01:17.347725,新北市淡水區淡金路5段240號,Shipped
PPP-78935-365,91074-60023-IP,D004,2024-06-06 02:01:17.347725,2024-06-07 02:01:17.347725,新北市樹林區育英街154號,Shipped
JUO-34131-517,07972-83748-JI,D001,2022-06-08 02:01:17.347725,2022-06-11 02:01:17.347725,台中市南屯區惠文路99巷18號,Shipped
ZJE-89333-489,08694-57330-XR,D003,2025-09-05 02:01:17.347725,2025-09-08 02:01:17.347725,新北市土城區明德路一段207號,Shipped
LOO-35324-159,68412-11126-YJ,D001,2023-09-12 02:01:17.347725,2023-09-15 02:01:17.347725,台南市安南區安中路四段86巷4號,Shipped
JBQ-93412-846,69037-66822-DW,D003,2025-08-20 02:01:17.347725,2025-08-21 02:01:17.347725,台北市大安區忠孝東路四段59巷9號,Shipped
EHX-66333-637,01297-94364-XH,D003,2024-01-03 02:01:17.347725,2024-01-04 02:01:17.347725,台北市松山區民權東路五段162巷24號,Shipped
WXG-25759-236,39919-06540-ZI,D002,2024-07-03 02:01:17.347725,2024-07-05 02:01:17.347725,雲林縣斗六市保長路187巷4號,Shipped
QNA-31113-984,60512-78550-WS,D004,2022-07-31 02:01:17.347725,2022-08-01 02:01:17.347725,桃園市蘆竹區忠孝西路48號,Shipped
ZWI-52029-159,40172-12000-AU,D002,2023-11-05 02:01:17.347725,2023-11-06 02:01:17.347725,宜蘭縣員山鄉溫泉路194巷3號,Shipped
DFS-49954-707,39019-13649-CL,D004,2025-04-15 02:01:17.347725,2025-04-17 02:01:17.347725,台北市北投區西安街一段209號,Shipped
VYP-89830-878,12715-05198-QU,D002,2024-01-28 02:01:17.347725,2024-01-29 02:01:17.347725,彰化縣芳苑鄉上林路路上段15巷18號1樓,Shipped
AMT-40418-362,04513-76520-QO,D001,2023-12-02 02:01:17.347725,2023-12-05 02:01:17.347725,台北市士林區通河街150號,Shipped
NFQ-23241-793,88446-59251-SQ,D002,2024-02-04 02:01:17.347725,2024-02-07 02:01:17.347725,新北市新莊區中和街27巷6號2樓,Shipped
JQK-64922-985,23779-10274-KN,D004,2025-03-05 02:01:17.347725,2025-03-06 02:01:17.347725,台中市南屯區大墩十一街46巷5號,Shipped
YET-17732-678,57235-92842-DK,D002,2024-10-13 02:01:17.347725,2024-10-14 02:01:17.347725,台北市文山區和平東路四段50巷15號3樓,Shipped
NKW-24945-846,75977-30364-AY,D002,2025-01-27 02:01:17.347725,2025-01-28 02:01:17.347725,高雄市仁武區八德西路270號,Shipped
VKA-82720-513,12299-30914-NG,D002,2022-10-17 02:01:17.347725,2022-10-20 02:01:17.347725,桃園市龜山區文化七路43號,Shipped
THA-60599-417,59971-35626-YJ,D002,2023-02-18 02:01:17.347725,2023-02-21 02:01:17.347725,嘉義市東區大雅路二段99號,Shipped
MEK-39769-035,15380-76513-PS,D001,2024-10-20 02:01:17.347725,2024-10-21 02:01:17.347725,高雄市岡山區筧橋路131號,Shipped
JAF-18294-750,73564-98204-EY,D001,2022-12-30 02:01:17.347725,2023-01-01 02:01:17.347725,台中市后里區文明路117巷5號,Shipped
TME-59627-221,72282-40594-RX,D002,2024-08-23 02:01:17.347725,2024-08-24 02:01:17.347725,高雄市鼓山區西藏街136巷12號5樓,Shipped
UDG-65353-824,17514-94165-RJ,D005,2023-05-02 02:01:17.347725,2023-05-05 02:01:17.347725,台北市大安區仁愛路四段29巷7號,Shipped
ENQ-42923-176,56248-75861-JX,D001,2024-05-06 02:01:17.347725,2024-05-07 02:01:17.347725,高雄市鼓山區華泰路192號,Shipped
CBT-55781-720,97855-54761-IS,D005,2025-03-10 02:01:17.347725,2025-03-13 02:01:17.347725,新竹市香山區中華路五段56巷5號,Shipped
NEU-86533-016,96544-91644-IT,D005,2022-09-26 02:01:17.347725,2022-09-27 02:01:17.347725,台中市大安區中山南路97號,Shipped
BYU-58154-603,51971-70393-QM,D001,2024-04-11 02:01:17.347725,2024-04-13 02:01:17.347725,台中市后里區安眉路172號,Shipped
EHJ-05910-257,06812-11924-IK,D005,2024-06-02 02:01:17.347725,2024-06-03 02:01:17.347725,基隆市安樂區武隆街110號,Shipped
EIL-44855-309,59741-90220-OW,D005,2024-07-08 02:01:17.347725,2024-07-11 02:01:17.347725,新北市三峽區三樹路209號,Shipped
HCA-87224-420,62682-27930-PD,D003,2025-11-27 02:01:17.347725,2025-11-30 02:01:17.347725,新竹市東區龍山東路252號,Shipped
ABO-29054-365,00256-19905-YG,D003,2022-05-14 02:01:17.347725,2022-05-15 02:01:17.347725,台北市大同區南京西路143巷13號,Shipped
TKN-58485-031,38890-22576-UI,D005,2025-07-16 02:01:17.347725,2025-07-17 02:01:17.347725,台北市文山區興隆路四段86巷20號,Shipped
RCK-04069-371,94573-61802-PH,D005,2025-01-30 02:01:17.347725,2025-02-01 02:01:17.347725,新北市新店區德正街116巷8號,Shipped
IRJ-67095-738,86447-02699-UT,D004,2022-07-13 02:01:17.347725,2022-07-14 02:01:17.347725,雲林縣虎尾鎮立德路127巷28號,Shipped
VEA-31961-977,51432-27169-KN,D001,2025-04-09 02:01:17.347725,2025-04-12 02:01:17.347725,新北市深坑區埔新街70號,Shipped
BAF-42286-205,43074-00987-PB,D005,2025-10-01 02:01:17.347725,2025-10-04 02:01:17.347725,南投縣草屯鎮敦和路180號,Shipped
WOR-52762-511,04739-85772-QT,D005,2023-04-08 02:01:17.347725,2023-04-11 02:01:17.347725,台中市大里區新仁路１段222號,Shipped
ZWK-03995-815,28279-78469-YW,D005,2024-08-03 02:01:17.347725,2024-08-04 02:01:17.347725,高雄市三民區澄清路53巷1號,Shipped
CKF-43291-846,91829-99544-DS,D002,2023-07-04 02:01:17.347725,2023-07-06 02:01:17.347725,基隆市仁愛區仁三路7巷16號,Shipped
RMW-74160-339,38978-59582-JP,D005,2024-02-09 02:01:17.347725,2024-02-12 02:01:17.347725,屏東縣恆春鎮省北路160號,Shipped
FMT-94584-786,86504-96610-BH,D002,2023-01-31 02:01:17.347725,2023-02-03 02:01:17.347725,基隆市中山區文化路169巷19號,Shipped
NWT-78222-575,75986-98864-EZ,D002,2023-04-25 02:01:17.347725,2023-04-27 02:01:17.347725,新北市三峽區介壽路三段3巷11號,Shipped
EOI-02511-919,66776-88682-RG,D004,2023-07-14 02:01:17.347725,2023-07-16 02:01:17.347725,新竹市東區竹蓮街100巷11號,Shipped
UCT-03935-589,85851-78384-DM,D003,2024-07-22 02:01:17.347725,2024-07-24 02:01:17.347725,新北市板橋區重慶路182巷12號,Shipped
SBI-60013-494,55232-81621-BX,D005,2025-03-07 02:01:17.347725,2025-03-09 02:01:17.347725,台中市大安區中山南路97號,Shipped
QRA-73277-814,80310-92912-JA,D003,2024-11-12 02:01:17.347725,2024-11-15 02:01:17.347725,台北市大安區辛亥路二段71號,Shipped
EQE-31648-909,19821-05175-WZ,D004,2022-05-13 02:01:17.347725,2022-05-16 02:01:17.347725,台北市萬華區富民路65巷2號,Shipped
QOO-24615-950,01338-83217-GV,D001,2022-11-30 02:01:17.347725,2022-12-02 02:01:17.347725,新北市三重區重陽路四段287號,Shipped
WDV-73864-037,66044-25298-TA,D003,2025-07-06 02:01:17.347725,2025-07-09 02:01:17.347725,新北市樹林區八德街177號,Shipped
PKR-88575-066,28728-47861-TZ,D001,2025-09-09 02:01:17.347725,2025-09-12 02:01:17.347725,桃園市蘆竹區南崁路二段27巷3號,Shipped
BWR-85735-955,32638-38620-AX,D001,2023-04-08 02:01:17.347725,2023-04-09 02:01:17.347725,新竹縣竹北市莊敬六街70號,Shipped
YFX-64795-136,83163-65741-IH,D002,2023-05-10 02:01:17.347725,2023-05-11 02:01:17.347725,台中市后里區甲后路160號,Shipped
DDO-71442-967,89422-58281-FD,D001,2022-08-05 02:01:17.347725,2022-08-08 02:01:17.347725,新北市淡水區鄧公路3巷11號,Shipped
ILQ-11027-588,76293-30918-DQ,D004,2023-07-23 02:01:17.347725,2023-07-26 02:01:17.347725,新北市三重區重陽路一段90巷15號,Shipped
KRZ-13868-122,86779-84838-EJ,D002,2025-07-17 02:01:17.347725,2025-07-18 02:01:17.347725,高雄市鳳山區瑞興路99號,Shipped
VRM-93594-914,66806-41795-MX,D003,2024-11-13 02:01:17.347725,2024-11-14 02:01:17.347725,台中市太平區宜欣路185號,Shipped
HXL-22497-359,64875-71224-UI,D002,2022-11-29 02:01:17.347725,2022-12-02 02:01:17.347725,台北市文山區景文街72巷1號,Shipped
